date,Content,Likes,Retweet
2022-12-23 06:16:14+00:00,"An MP who has just recovered from a broken leg (@RamyaHaridasMP) with an MP who is recovering from a torn ligament! Great to be standing on my feet, though, after subjecting others to the burden of pushing me through Parliament in a wheelchair https://t.co/jF0yQfQXHA",1663,71
2022-12-23 04:59:49+00:00,#RememberingKKarunakaran https://t.co/F89rHxXWKr,328,37
2022-12-22 11:35:51+00:00,My conversation with Ankur @Warikoo on an assortment of issues relating to his understanding of GenZ : https://t.co/BVZ8iWPmSL,307,27
2022-12-22 03:28:18+00:00,"It’s #NationalMathematicsDay! A celebration of the magic of numbers, &amp; the doors they open to the world… https://t.co/rA7eveIQDE",1831,156
2022-12-21 15:21:07+00:00,"Launched ⁦@ronojoy_sen⁩’s new book on the Indian parliament, “House of the People”, &amp; enjoyed a stimulating discussion on the workings of our contemporary parliamentary democracy with Justice Madan Lokur, Prof Neera Chandoke, &amp; AlexTrevelli this evening https://t.co/ApmcWwBrQA",267,31
2022-12-21 14:53:54+00:00,"Proud to have cast the first ballot in today’s parliamentary elections for a member of the Council of the Institutes of Technology. Hope it’s the last time I have to do so in a wheelchair, though! https://t.co/ZVzNqrro0E",1707,73
2022-12-21 14:48:42+00:00,Called on @incIndia President @kharge ji in his parliament office to discuss contemporary issues. Had already enjoyed a similar conversation with Congress Parliamentary Party leader Smt Sonia Gandhi ji after her inspiring address to MPs this morning. https://t.co/whYaoU36CP,5561,310
2022-12-21 14:45:17+00:00,Joined @incIndia and allied MPs in protesting the Government’s refusal to discuss China &amp; the situation along the LAC in Parliament. The basic norms of democratic accountability are being ignored in refusing to discuss such developments for the last two and a half years. https://t.co/TXJRkz9pOZ,891,72
2022-12-20 18:10:55+00:00,"Glad to hear this but I see no trains to Thiruvananthapuram in your list. None from Hyderabad, Mumbai or New Delhi either, where large numbers of Keralites are clamouring for unavailable seats in the regularly scheduled trains this Christmas/NewYear. @AshwiniVaishnaw",237,50
2022-12-20 11:43:28+00:00,"Lovely little review of #AmbedkarALie by RomiMahajan in @Countercurrents :
https://t.co/U41kaAxLRh",205,31
2022-12-20 06:49:56+00:00,"When you need to enter Parliament in a wheelchair, there’s only one entrance with a ramp, at door 9, a good four minute trip (with the assistance of helpers) to the Lok Sabha. This temporary disability has taught me how poorly equipped we are to support people with disabilities https://t.co/X6WyS9Ivvp",27930,1557
2022-12-20 06:20:39+00:00,"Keralites are shocked that @indianrailway__ have not announced any special trains this year for the annual Christmas/NewYear rush. With such a large number of people living &amp; working outside the state this need has always been recognised! What happened, @AshwiniVaishnaw ? https://t.co/k3Md0krsSm",541,87
2022-12-20 05:29:51+00:00,Thanks for the sensible advice @HusnaPervez — but there is also a four-letter word called D.U.T.Y!,183,16
2022-12-20 05:27:22+00:00,Sad to learn of incidents in Bastar which have rendered 200 Christians homeless for no reason than their religion. This is not the India most of us are proud of: https://t.co/jtCZfGr6BT,796,175
